"14éme","14eme"
"aboutirait","aboutir"
"aboutiras","aboutir"
"aboutirent","aboutir"
"aboutirons","aboutir"
"aboutiront","aboutir"
"aboutis","aboutir"
"aboutissaient","aboutir"
"aboutissait","aboutir"
"aboutissant","aboutir"
"aboutissants","aboutir"
"aboutisse","aboutir"
"aboutissent","aboutir"
"aboutissez","aboutir"
"aboutissiez","aboutir"
"aboutissions","aboutir"
"aboutit","aboutir"
"aboutonnai","aboutonner"
"aboutons","abouter"
"aboutîmes","aboutir"
"aboya","aboyer"
"aboyaient","aboyer"
"aboyait","aboyer"
"aboyant","aboyer"
"aboyante","aboyer"
"aboyeurs","aboyeur"
"aboyons","aboyer"
"aboyèrent","aboyer"
"aboyé","aboyer"
"abracadabrante","abracadabrant"
"abracadabrantes","abracadabrant"
"abracadabrants","abracadabrant"
"abracadabré","abracadabrer"
"abrasifs","abrasif"
"abrasive","abrasif"
"abrasé","abraser"
"abreuva","abreuver"
"abreuvaient","abreuver"
"abreuvait","abreuver"
"abreuvant","abreuver"
"abreuve","abreuver"
"abreuvent","abreuver"
"abreuvera","abreuver"
"abreuveraient","abreuver"
"abreuvez","abreuver"
"abreuvoirs","abreuvoir"
"abreuvons","abreuver"
"abreuvé","abreuver"
"abreuvée","abreuver"
"abreuvés","abreuver"
"abricotez","abricoter"
"abricotiers","abricotier"
"abricots","abricot"
"abris","abri"
"abrita","abriter"
"abritai","abriter"
"abritaient","abriter"
"abritais","abriter"
"abritait","abriter"
"abritant","abriter"
"abrite","abriter"
"abritent","abriter"
"abritera","abriter"
"abriterait","abriter"
"abriterons","abriter"
"abriteront","abriter"
"abrites","abriter"
"abritez","abriter"
"abritiez","abriter"
"abritions","abriter"
"abritons","abriter"
"abritâmes","abriter"
"abritèrent","abriter"
"abrité","abriter"
"abritée","abriter"
"abritées","abriter"
"abrités","abriter"
"abroge","abroger"
"abrogent","abroger"
"abrogé","abroger"
"abrogée","abroger"
"abrogées","abroger"
"abrogés","abroger"
"abrupte","abrupt"
"abruptes","abrupt"
"abrupts","abrupt"
"abruti","abrutir"
"abrutie","abrutir"
"abruties","abrutir"
"abrutira","abrutir"
"abrutis","abrutir"
"abrutissaient","abrutir"
"abrutissais","abrutir"
"abrutissait","abrutir"
"abrutissant","abrutir"
"abrutissante","abrutir"
"abrutissantes","abrutir"
"abrutissants","abrutir"
"abrutissent","abrutir"
"abrutissions","abrutir"
"abrutit","abrutir"
"abrège","abréger"
"abrègent","abréger"
"abrégea","abréger"
"abrégeai","abréger"
"abrégeaient","abréger"
"abrégeait","abréger"
"abrégeant","abréger"
"abrégeons","abréger"
"abrégera","abréger"
"abrégerai","abréger"
"abrégerait","abréger"
"abrégez","abréger"
"abrégeât","abréger"
"abrégé","abréger"
"abrégée","abréger"
"abrégés","abréger"
"abréviations","abréviation"
"absconse","abscons"
"absconses","abscons"
"absences","absence"
"absenta","absenter"
"absentai","absenter"
"absentaient","absenter"
"absentais","absenter"
"absentait","absenter"
"absentant","absenter"
"absente","absenter"
"absenteisme","absentéisme"
"absentera","absenter"
"absenterai","absenter"
"absenterait","absenter"
"absentes","absenter"
"absents","absent"
"absentèrent","absenter"
"absenté","absenter"
"absentée","absenter"
"absentés","absenter"
"absides","abside"
"absidiales","absidial"
"absinthant","absinther"
"absolue","absolu"
"absolues","absolu"
"absolus","absolu"
"absolvaient","absoudre"
"absolvait","absoudre"
"absolve","absoudre"
"absolvent","absoudre"
"absolves","absoudre"
"absorba","absorber"
"absorbables","absorbable"
"absorbai","absorber"
"absorbaient","absorber"
"absorbais","absorber"
"absorbait","absorber"
"absorbant","absorber"
"absorbante","absorber"
"absorbantes","absorber"
"absorbants","absorber"
"absorbe","absorber"
"absorbent","absorber"
"absorbera","absorber"
"absorberai","absorber"
"absorberaient","absorber"
"absorberait","absorber"
"absorbez","absorber"
"absorbions","absorber"
"absorbons","absorber"
"absorbèrent","absorber"
"absorbé","absorber"
"absorbée","absorber"
"absorbées","absorber"
"absorbés","absorber"
"absorptions","absorption"
"absoudrai","absoudre"
"absoudrait","absoudre"
"absoudriez","absoudre"
"absous","absoudre"
"absout","absoudre"
"absoute","absoudre"
"absoutes","absoudre"
"abstenaient","abstenir"
"abstenais","abstenir"
"abstenait","abstenir"
"abstenant","abstenir"
"abstenez","abstenir"
"absteniez","abstenir"
"abstenions","abstenir"
"abstenons","abstenir"
"abstentionnistes","abstentionniste"
"abstenu","abstenir"
"abstenue","abstenir"
"abstenues","abstenir"
"abstenus","abstenir"
"abstiendrai","abstenir"
"abstiendraient","abstenir"
"abstiendrais","abstenir"
"abstiendrait","abstenir"
"abstiendras","abstenir"
"abstiendrions","abstenir"
"abstiendrons","abstenir"
"abstiendront","abstenir"
"abstienne","abstenir"
"abstiennent","abstenir"
"abstiennes","abstenir"
"abstiens","abstenir"
"abstient","abstenir"
"abstinences","abstinence"
"abstinente","abstinent"
"abstinrent","abstenir"
"abstins","abstenir"
"abstint","abstenir"
"abstractions","abstraction"
"abstrais","abstraire"
"abstrait","abstraire"
"abstraite","abstraire"
"abstraite-mesure","abstrait mesurer"
"abstraites","abstraire"
"abstraits","abstraire"
"abstruse","abstrus"
"abstruses","abstrus"
"abstînt","abstenir"
"absurdes","absurde"
"absurdistes","absurdiste"
"absurdités","absurdité"
"abusa","abuser"
"abusai","abuser"
"abusaient","abuser"
"abusais","abuser"
"abusait","abuser"
"abusant","abuser"
"abuse","abuser"
"abusent","abuser"
"abusera","abuser"
"abuserai","abuser"
"abuserais","abuser"
"abuserait","abuser"
"abuserez","abuser"
"abuseriez","abuser"
"abuses","abuser"
"abusez","abuser"
"abusiez","abuser"
"abusifs","abusif"
"abusive","abusif"
"abusives","abusif"
"abusons","abuser"
"abusèrent","abuser"
"abusé","abuser"
"abusée","abuser"
"abusées","abuser"
"abusés","abuser"
"abyssale","abyssal"
"abyssales","abyssal"
"abysses","abysse"
"abyssinienne","abyssinien"
"abyssins","abyssin"
"abâtardi","abâtardir"
"abâtardie","abâtardir"
"abâtardies","abâtardir"
"abâtardirai","abâtardir"
"abâtardissant","abâtardir"
"abêti","abêtir"
"abêties","abêtir"
"abêtis","abêtir"
"abêtissait","abêtir"
"abêtit","abêtir"
"abî","abi"
"abîma","abîmer"
"abîmai","abîmer"
"abîmaient","abîmer"
"abîmait","abîmer"
"abîmant","abîmer"
"abîme","abîmer"
"abîment","abîmer"
"abîmera","abîmer"
"abîmerai","abîmer"
"abîmerais","abîmer"
"abîmerait","abîmer"
"abîmeras","abîmer"
"abîmerez","abîmer"
"abîmeront","abîmer"
"abîmes","abîmer"
"abîmez","abîmer"
"abîmions","abîmer"
"abîmons","abîmer"
"abîmé","abîmer"
"abîmée","abîmer"
"abîmées","abîmer"
"abîmés","abîmer"
"abû-l-qâsim","abu-l-qasim"
"acabits","acabit"
"acacias","acacia"
"acadienne","acadien"
"acadiens","acadien"
"acadèmia","academia"
"académia","academia"
"académiciens","académicien"
"académie-inspecteur","académie inspecteur"
"académie-inspecteurs","académie inspecteur"
"académies","académie"
"académiques","académique"
"académisé","académiser"
"acagnardai","acagnarder"
"acagnardait","acagnarder"
"acagnardé","acagnarder"
"acagnardée","acagnarder"
"acajous","acajou"
"acanthes","acanthe"
"acariens","acarien"
"acariâtres","acariâtre"
"accabla","accabler"
"accablai","accabler"
"accablaient","accabler"
"accablais","accabler"
"accablait","accabler"
"accablant","accabler"
"accablante","accabler"
"accablantes","accabler"
"accablants","accabler"
"accable","accabler"
