x,y,z,label
1.107976,-9.949108,-10.539863,Analyses et tests informatiques ( Informatique - numérique )
-12.085036,-2.3509023,13.896507,Habilitations - certificats - brevets en sécurité et secours ( Protection - surveillance - sécurité )
-0.13021982,-13.3581915,-27.644081,Contrôle et suivi d'impression ou de reprographie ( Impression - prépresse - reprographie )
4.331411,6.763702,-5.7012715,"Commerce, Vente et Grande distribution"
-12.42273,-10.857365,-11.885738,Banque privée
0.41088668,-4.161507,21.39427,Aéronavale
-15.486034,10.331499,2.9371305,Intervention chirurgicale ( Santé - médecine - pharmacie )
-15.393696,5.263884,13.299866,Aide à la vie quotidienne ( Services à la personne )
22.48297,-3.3356838,5.9060316,"Verre creux (emballage, bouteilles, ...)"
-6.674289,1.1027021,21.090147,Armée de l'air
16.869473,-0.6044256,2.7801142,Fabrication et transformation des produits en céramique ( Fabrication et transformation d'éléments )
16.284893,-1.0000691,10.314106,Industrie mécanique du bois
2.1467004,-3.7507823,21.681316,Troupes parachutistes
1.4083949,14.10265,-19.473843,Production - promotion de spectacles et audiovisuelle ( Spectacle et audiovisuel )
-11.321921,-11.090358,-7.582973,Immobilier
-2.4322116,-6.6607738,-13.918448,Support à l'entreprise - Systèmes d'information et de télécommunication
-22.516184,-16.387064,3.6978106,Aérien
3.9601297,-13.899132,3.0111399,Bâtiment domestique
17.218073,-1.2292287,-18.508183,Mode
-6.640601,-9.844861,-15.414878,Architecture réseau ( Réseau et télécom )
1.2359065,10.680765,13.7032175,Nettoyage - entretien
7.6042604,-9.577514,16.03624,Etude et conception électrique ou électronique ( Electricité - électronique - génie mécanique )
16.139202,-1.6708295,3.5674598,Fabrication et transformation de matériaux de construction ( Fabrication et transformation d'éléments )
-12.057001,-5.184352,-9.106177,Devises - change ( Banque - assurance - finance - fiscalité )
-8.15284,5.4658585,7.6616826,Composition florale ( Métiers d'art )
-8.011662,8.255923,26.67705,Chimie fine
-10.354708,5.251161,22.771896,Sciences
1.8452872,1.2420002,-25.15324,Ecriture d'ouvrage ( Ecriture et édition )
2.5314548,-18.345062,12.9222145,Actes courants et outils de maintenance ( Maintenance - entretien technique )
-10.683406,4.836957,5.675242,Pisciculture
20.49243,0.12936567,10.165407,Menuiserie industrielle
4.0006146,-17.05644,-1.6533165,Structures métalliques
-10.990011,3.9207761,-4.749348,Relation client en établissement de jeux ( Tourisme et loisirs )
13.273074,-0.64479834,2.3796875,Fabrication et transformation de papiers et cartons ( Fabrication et transformation d'éléments )
16.819096,-3.9523962,-2.6100335,"Fabrication de revêtements de sols (moquette, ....)"
-5.7316074,28.480715,-3.1729124,Protection cynophile ( Protection - surveillance - sécurité )
19.430248,0.8779001,8.241175,Première transformation du bois
-6.795952,-5.365242,5.2397842,Sécurité routière
15.670763,-24.911455,-2.4823506,Carrosserie ( Maintenance - entretien technique )
26.203732,9.113691,-7.5725875,Musique ( Spectacle et audiovisuel )
14.163018,-4.7970366,-1.2360204,Serrurerie et fermetures extérieures
22.257708,-1.164232,5.2350297,"Verre plat (vitrage, bâtiment, automobile, ...)"
-12.12193,-5.80246,-11.500101,Fiscalité ( Banque - assurance - finance - fiscalité )
-1.7349056,18.1358,7.731696,Agriculture - sylviculture - pêche
-18.450645,12.138912,8.517024,Santé - médecine - pharmacie
-12.999993,6.075732,5.6755977,Médicosocial
18.191418,-10.264599,9.970725,Chaudronnerie - tôlerie ( Fabrication et transformation d'éléments )
-1.2464658,2.4821885,-11.439107,Actions marketing ( Achat - vente )
-16.984797,17.571964,-2.1066365,Enseignement - formation - orientation
-2.9013548,1.521811,-3.8974228,Support à l'entreprise - Direction d'entreprise
-3.3604257,3.8687892,-9.043351,"Support à l'entreprise - Stratégie commerciale, marketing et supervision des ventes"
4.194409,-2.0225573,8.710951,Industrie - Energie
4.477342,-17.252161,-2.2213078,Structure - charpente ( BTP - construction - aménagement )
2.4512408,-7.481014,13.531773,Automobile
-8.759917,4.938803,-8.110618,Relation client ( Achat - vente )
-7.8575144,24.795721,-3.6894743,Culture et patrimoine ( Tourisme et loisirs )
27.153006,6.2359347,-3.6300642,Arts et Façonnage d'ouvrages d'art - Instruments de musique
-9.099935,8.92998,-8.658712,Hôtellerie
-21.549994,1.0842093,-0.41524312,Conseil à l'emploi ( Conseil - expertise - aide à la décision )
-1.1775405,6.727898,2.9607108,"Contrôle de la conformité d'un produit, d'un service ou d'un équipement"
-11.960071,-9.866559,-11.953864,Banque
-18.620522,19.45728,10.039587,Radiologie conventionnelle
1.8912393,-7.6346707,14.128583,"Aéronautique, spatial"
-5.099863,-19.54703,5.8337927,Eclairage public
13.372349,-8.118217,-1.0554599,Couverture ( BTP - construction - aménagement )
4.7631693,8.193902,0.06440161,"Huiles, corps gras, margarines"
-11.369497,26.633118,8.826304,Chirurgie animale ( Santé animale )
-1.7467906,1.9005935,-13.91791,Communication
-18.187696,7.2784867,2.0836046,Médiation sociale ( Intervention sociale )
-12.326516,-7.948431,-9.820014,"Banque, Assurance, Immobilier - Finance"
14.743265,-13.506082,-10.003946,Manipulation des outils et des équipements
-5.6831098,-3.0312617,19.927105,Police nationale
-8.374142,18.288576,11.117282,Soins aux animaux ( Agriculture - sylviculture - pêche )
-17.230886,17.651905,7.9409842,Radiothérapie ( Santé - médecine - pharmacie )
-9.670732,8.255107,7.290802,Elaboration de menus et de recettes ( Cuisine - restauration )
-1.6529336,-12.463058,16.416306,Construction navale
-6.688071,2.0287457,13.718346,Météorologie ( Sciences )
-9.374423,-10.056327,-12.014996,Banque de réseau
-7.2463555,19.546797,12.114923,Transport d'animaux ( Transport )
5.4915147,3.2074058,2.8223839,"Activités maritimes spécialisées (recherche, avitaillement off shore,...)"
-15.269941,15.089975,14.059036,Santé - Rééducation et appareillage
0.4667521,6.248814,2.9026365,Produits de la mer
-3.6711364,-4.3690157,9.429279,Industrie - Hygiène Sécurité Environnement -HSE- industriels
-11.18814,4.766189,9.999654,Services à la personne et à la collectivité - Développement territorial et emploi
3.926972,-16.640455,13.714015,Organisation de la maintenance ( Maintenance - entretien technique )
8.518821,-4.7852855,-11.15825,Application
0.5819818,-14.000953,13.171902,"Entretien technique (mobilier urbain, bâtiments et locaux) ( Maintenance - entretien technique )"
-13.167552,26.463669,8.602509,Alimentation animale
-2.8932939,13.595527,-12.712572,Loisirs
17.86777,-2.5964117,-6.6155553,"Fabrication de produits textiles (tricotage, tissage, nontissé)"
-2.0467322,-1.6708736,-16.569965,Information - documentation - communication
2.3390388,-16.331364,0.9584215,"Construction, Bâtiment et Travaux publics - Conception et études"
13.620615,-0.99330646,14.292367,Filature
-2.8953464,14.1559725,-14.95295,Cinéma
-2.4467928,-6.294339,21.264418,Marine marchande
8.511798,-20.44839,-14.849483,Design et dessin technique
2.294295,-0.3712694,9.951423,Industrie cosmétique
17.170897,-0.60429853,-15.549573,Habillement et accessoires
-2.797926,-0.13943228,-4.8848753,Support à l'entreprise - Organisation et études
-6.0483656,-13.793439,-11.064013,Voiries et Réseaux Divers -VRD-
-10.039839,9.819837,1.148197,Politiques publiques et territoriales
1.002756,15.070491,-16.309893,Spectacle - Sport professionnel
-5.901742,11.985654,-10.182991,"Hôtellerie-Restauration, Tourisme, Loisirs et Animation - Animation d'activités de loisirs"
-12.572872,25.119095,8.598091,Intervention paramédicale animale ( Santé animale )
2.3115878,10.23938,-2.1169138,"Boissons, alcools"
3.687525,-6.425647,8.382183,Pétrole
3.8413546,-2.4799337,7.4972606,Energies renouvelables ( Environnement )
1.3517499,10.87296,-1.8024019,Sommellerie ( Cuisine - restauration )
6.2143483,-20.091743,3.4515085,Aménagements - agencements intérieurs ( BTP - construction - aménagement )
-12.643484,-7.656179,1.155315,Réalisation d'opérations automatisées ( Production industrielle )
6.4002104,11.163364,3.2034276,Industrie - Alimentaire
11.000281,8.936401,10.287245,Froid commercial
2.6532073,-12.006594,0.692314,Résidentiel
-11.108072,-20.329002,-2.1075542,Exploitation des transports ( Transport )
27.663103,8.170569,-7.353506,Réparation d'instruments de musique ( Métiers d'art )
3.0803635,-27.60468,0.0012761764,Engins de chantier et de manutention
12.571408,-3.440063,22.872898,Optique et lunetterie ( Santé - médecine - pharmacie )
3.249816,2.68938,-24.425066,Organisation de l'édition ( Ecriture et édition )
2.7942574,1.9336143,1.9602232,"Cycle, motocycle"
-16.449945,-9.875349,8.781956,Recyclage
-13.2971525,-6.665171,-6.3253984,Gestion des sinistres ( Banque - assurance - finance - fiscalité )
7.5004153,-19.445032,-14.670744,Design ( Design et dessin technique )
-13.4721365,-9.058783,-9.19826,"Banque, Assurance, Immobilier - Assurance"
-2.723257,3.4755926,-3.784292,Prêt à porter
-2.6205955,-11.304593,2.7133796,Mise en œuvre de modes opératoires et méthodes
-1.4626824,22.344198,9.412297,Agriculture ( Agriculture - sylviculture - pêche )
-13.880652,-25.702526,-4.336815,Exploitation maritime et fluviale ( Transport )
-6.1930656,-1.2320486,19.461597,Police de l'air et des frontières
-11.217143,5.087439,7.287418,"Services à la personne et à la collectivité - Action sociale, socio-éducative et socio-culturelle"
2.122004,17.228094,-15.693663,Spectacle vivant
-0.2347956,10.652403,13.23964,Nettoyage - entretien des chambres ( Nettoyage - entretien )
