#10e#|#{'10è'}#
#10eme#|#{'10ème'}#
#10è#|#{'10e'}#
#10ème#|#{'10eme'}#
#11e#|#{'11è'}#
#11è#|#{'11e'}#
#13e#|#{'13è'}#
#13è#|#{'13e'}#
#16e#|#{'16è'}#
#16è#|#{'16e'}#
#1a#|#{'1à'}#
#1er#|#{'1ers', '1èr'}#
#1eres#|#{'1ères'}#
#1ers#|#{'1er'}#
#1ier#|#{'1ière'}#
#1ière#|#{'1ier'}#
#1à#|#{'1a'}#
#1èr#|#{'1er', '1ère'}#
#1ère#|#{'1ères', '1èr'}#
#1ères#|#{'1ère', '1eres'}#
#2e#|#{'2è'}#
#2em#|#{'2eme'}#
#2eme#|#{'2em', '2ème'}#
#2nd#|#{'2nde'}#
#2nde#|#{'2nd'}#
#2è#|#{'2e'}#
#2ème#|#{'2èmes', '2eme'}#
#2èmes#|#{'2ème'}#
#3e#|#{'3è'}#
#3eme#|#{'3ème'}#
#3ieme#|#{'3ième'}#
#3ième#|#{'3ieme'}#
#3è#|#{'3e'}#
#3ème#|#{'3eme', '3èmes'}#
#3èmes#|#{'3ème'}#
#4e#|#{'4è'}#
#4eme#|#{'4éme', '4ème'}#
#4è#|#{'4e'}#
#4ème#|#{'4eme'}#
#4éme#|#{'4eme'}#
#5ème#|#{'5èmes'}#
#5èmes#|#{'5ème'}#
#6e#|#{'6è'}#
#6è#|#{'6e'}#
#7eme#|#{'7ème'}#
#7ème#|#{'7eme'}#
#8e#|#{'8è'}#
#8è#|#{'8e'}#
#abaisse#|#{'abaisseur'}#
#abaissement#|#{'abaisser'}#
#abaisser#|#{'abaissement', 'abaisseur'}#
#abaisseur#|#{'abaisser', 'abaisse'}#
#abandon#|#{'abandons'}#
#abandonner#|#{'abandonné'}#
#abandonné#|#{'abandonner', 'abandonnés'}#
#abandonnés#|#{'abandonné'}#
#abandons#|#{'abandon'}#
#abaque#|#{'abaques'}#
#abaques#|#{'abaque'}#
#abba#|#{'abbas'}#
#abbas#|#{'abba'}#
#abbé#|#{'abbés'}#
#abbés#|#{'abbé'}#
#abeille#|#{'abeilles'}#
#abeilles#|#{'abeille'}#
#abl#|#{'able'}#
#able#|#{'abl'}#
#abonné#|#{'abonnée', 'abonnés'}#
#abonnée#|#{'abonné', 'abonnées'}#
#abonnées#|#{'abonnée'}#
#abonnés#|#{'abonné'}#
#aborde#|#{'abordé'}#
#aborder#|#{'abordé'}#
#abordé#|#{'aborde', 'aborder', 'abordés'}#
#abordés#|#{'abordé'}#
#abouti#|#{'aboutis'}#
#aboutis#|#{'abouti'}#
#abri#|#{'abris'}#
#abricot#|#{'abricots'}#
#abricots#|#{'abricot'}#
#abris#|#{'abri'}#
#absence#|#{'absences'}#
#absences#|#{'absence'}#
#absent#|#{'absents', 'absente'}#
#absente#|#{'absent'}#
#absents#|#{'absent'}#
#absolu#|#{'absolue'}#
#absolue#|#{'absolues', 'absolu'}#
#absolues#|#{'absolue'}#
#absorbant#|#{'absorber'}#
#absorber#|#{'absorbant', 'absorbé'}#
#absorbé#|#{'absorber', 'absorbés'}#
#absorbés#|#{'absorbé'}#
#absorption#|#{'absorptions'}#
#absorptions#|#{'absorption'}#
#abu#|#{'abus'}#
#abus#|#{'abu'}#
#abîmer#|#{'abîmé'}#
#abîmé#|#{'abîmer'}#
#acacia#|#{'acacias'}#
#acacias#|#{'acacia'}#
#academie#|#{'académie'}#
#academique#|#{'académique'}#
#académie#|#{'academie', 'académies'}#
#académies#|#{'académie'}#
#académique#|#{'académiques', 'academique'}#
#académiques#|#{'académique'}#
#acceleration#|#{'accélération'}#
#accent#|#{'accents'}#
#accents#|#{'accent'}#
#acceptable#|#{'acceptables'}#
#acceptables#|#{'acceptable'}#
#acceptation#|#{'accepter'}#
#accepte#|#{'accepteur', 'accepté'}#
#accepter#|#{'accepteur', 'accepté', 'acceptation'}#
#accepteur#|#{'accepter', 'accepte'}#
#accepté#|#{'accepter', 'acceptés', 'acceptée', 'accepte'}#
#acceptée#|#{'acceptées', 'accepté'}#
#acceptées#|#{'acceptée'}#
#acceptés#|#{'accepté'}#
#acces#|#{'accès'}#
#accessibilité#|#{'accessibilités'}#
#accessibilités#|#{'accessibilité'}#
#accessible#|#{'accessibles'}#
#accessibles#|#{'accessible'}#
#accession#|#{'accessions'}#
#accessions#|#{'accession'}#
#accessoire#|#{'accessoires'}#
#accessoires#|#{'accessoire'}#
#accidenté#|#{'accidentée', 'accidentés'}#
#accidentée#|#{'accidenté'}#
#accidentés#|#{'accidenté'}#
#accompagnant#|#{'accompagnants'}#
#accompagnants#|#{'accompagnant'}#
#accompagnateur#|#{'accompagnateurs'}#
#accompagnateurs#|#{'accompagnateur'}#
#accompagne#|#{'accompagné'}#
#accompagné#|#{'accompagnés', 'accompagne', 'accompagnée'}#
#accompagnée#|#{'accompagnées', 'accompagné'}#
#accompagnées#|#{'accompagnée'}#
#accompagnés#|#{'accompagné'}#
#accompli#|#{'accomplis', 'accomplie'}#
#accomplie#|#{'accomplies', 'accompli'}#
#accomplies#|#{'accomplie'}#
#accomplis#|#{'accompli'}#
#accomplissement#|#{'accomplissements'}#
#accomplissements#|#{'accomplissement'}#
#accorde#|#{'accordeur'}#
#accorder#|#{'accordeur'}#
#accordeur#|#{'accorde', 'accorder'}#
#accordée#|#{'accordées'}#
#accordées#|#{'accordée'}#
#accostage#|#{'accostages'}#
#accostages#|#{'accostage'}#
#accreditation#|#{'accréditation'}#
#accrochage#|#{'accrocher'}#
#accroche#|#{'accrocheuse'}#
#accrocher#|#{'accrocheuse', 'accrochage'}#
#accrocheuse#|#{'accroche', 'accrocher'}#
#accréditation#|#{'accreditation', 'accréditations'}#
#accréditations#|#{'accréditation'}#
#accrédité#|#{'accrédités'}#
#accrédités#|#{'accrédité'}#
#accueil#|#{'accueils', 'accueille'}#
#accueille#|#{'accueil'}#
#accueils#|#{'accueil'}#
#accès#|#{'acces'}#
#accédant#|#{'accéder'}#
#accéder#|#{'accédant'}#
#accélérateur#|#{'accélérer', 'accélérateurs'}#
#accélérateurs#|#{'accélérateur'}#
#accélération#|#{'accélérations', 'accélérer', 'acceleration'}#
#accélérations#|#{'accélération'}#
#accélérer#|#{'accélérateur', 'accéléré', 'accélération'}#
#accéléré#|#{'accélérer', 'accélérée'}#
#accélérée#|#{'accélérées', 'accéléré'}#
#accélérées#|#{'accélérée'}#
#ace#|#{'aces'}#
#aces#|#{'ace'}#
#acetylene#|#{'acétylène'}#
#ach#|#{'ache'}#
#ache#|#{'ach'}#
#acheminement#|#{'acheminements', 'acheminer'}#
#acheminements#|#{'acheminement'}#
#acheminent#|#{'acheminer'}#
#acheminer#|#{'acheminent', 'acheminé', 'acheminement'}#
#acheminé#|#{'acheminer'}#
#acheter#|#{'acheteur'}#
#acheteur#|#{'acheter'}#
#achevant#|#{'achever'}#
#achever#|#{'achevé', 'achevant'}#
#achevé#|#{'achever', 'achevée', 'achevés'}#
#achevée#|#{'achevées', 'achevé'}#
#achevées#|#{'achevée'}#
#achevés#|#{'achevé'}#
#achèvement#|#{'achèvements'}#
#achèvements#|#{'achèvement'}#
#acid#|#{'acide'}#
#acide#|#{'acid'}#
#acier#|#{'aciers'}#
#acierie#|#{'aciérie'}#
#aciers#|#{'acier'}#
#aciérie#|#{'aciéries', 'acierie'}#
#aciéries#|#{'aciérie'}#
#acoustique#|#{'acoustiques'}#
#acoustiques#|#{'acoustique'}#
#acquerir#|#{'acquérir'}#
#acquis#|#{'acquise'}#
#acquise#|#{'acquis', 'acquises'}#
#acquises#|#{'acquise'}#
#acquérir#|#{'acquerir'}#
#acrobatique#|#{'acrobatiques'}#
#acrobatiques#|#{'acrobatique'}#
#act#|#{'acte'}#
#acte#|#{'acté', 'act', 'acteur', 'actes'}#
#actes#|#{'acte'}#
#acteur#|#{'acte', 'actrice', 'acteurs'}#
#acteurs#|#{'acteur'}#
#acti#|#{'actis'}#
#actif#|#{'actrice', 'actifs', 'active'}#
#actifs#|#{'actif'}#
#action#|#{'actions'}#
#actionnement#|#{'actionner'}#
#actionner#|#{'actionnement'}#
#actions#|#{'action'}#
#actis#|#{'acti'}#
#activation#|#{'activer'}#
#active#|#{'activé', 'actives', 'actif'}#
#activement#|#{'activer'}#
#activer#|#{'activé', 'activation', 'activement'}#
#actives#|#{'activés', 'active'}#
#activit#|#{'activite'}#
#activite#|#{'activité', 'activit', 'activites'}#
#activites#|#{'activite'}#
#activité#|#{'activite'}#
#activé#|#{'activés', 'activer', 'active'}#
#activés#|#{'activé', 'actives'}#
#actrice#|#{'acteur', 'actif'}#
#actualisation#|#{'actualisations', 'actualiser'}#
#actualisations#|#{'actualisation'}#
#actualiser#|#{'actualisé', 'actualisation'}#
#actualisé#|#{'actualisée', 'actualisés', 'actualiser'}#
#actualisée#|#{'actualisé'}#
#actualisés#|#{'actualisé'}#
#actuarielle#|#{'actuarielles'}#
#actuarielles#|#{'actuarielle'}#
#actuel#|#{'actuelle', 'actuels'}#
#actuelle#|#{'actuel', 'actuelles'}#
#actuelles#|#{'actuelle'}#
#actuels#|#{'actuel'}#
#acté#|#{'acte'}#
#acétylène#|#{'acetylene'}#
#adage#|#{'adages'}#
#adages#|#{'adage'}#
#adapt#|#{'adapte'}#
#adaptable#|#{'adaptables'}#
#adaptables#|#{'adaptable'}#
#adaptant#|#{'adapter'}#
#adaptateur#|#{'adapter'}#
#adaptatif#|#{'adaptative', 'adaptatifs'}#
#adaptatifs#|#{'adaptatif'}#
#adaptation#|#{'adapter', 'adaptations'}#
#adaptations#|#{'adaptation'}#
#adaptative#|#{'adaptatif'}#
#adapte#|#{'adapté', 'adapt'}#
#adapter#|#{'adaptant', 'adaptateur', 'adapté', 'adaptation'}#
#adapté#|#{'adapter', 'adaptée', 'adapte', 'adaptés'}#
#adaptée#|#{'adaptées', 'adapté'}#
#adaptées#|#{'adaptée'}#
#adaptés#|#{'adapté'}#
#add#|#{'adds'}#
#addiction#|#{'addictions'}#
#addictions#|#{'addiction'}#
#additif#|#{'additive', 'additifs'}#
#additifs#|#{'additif'}#
#addition#|#{'additions'}#
#additionnel#|#{'additionnels'}#
#additionnels#|#{'additionnel'}#
#additions#|#{'addition'}#
#additive#|#{'additif', 'additives'}#
#additives#|#{'additive'}#
#adds#|#{'add'}#
#ade#|#{'ades'}#
#adept#|#{'adepte'}#
#adepte#|#{'adept'}#
#ades#|#{'ade'}#
#adherence#|#{'adhérence'}#
#adhesion#|#{'adhésion'}#
#adhérant#|#{'adhérer'}#
#adhérence#|#{'adherence', 'adhérences'}#
#adhérences#|#{'adhérence'}#
#adhérent#|#{'adhérente', 'adhérer', 'adhérents'}#
#adhérente#|#{'adhérent', 'adhérentes'}#
#adhérentes#|#{'adhérente'}#
#adhérents#|#{'adhérent'}#
#adhérer#|#{'adhérant', 'adhérent'}#
#adhésif#|#{'adhésifs'}#
#adhésifs#|#{'adhésif'}#
#adhésion#|#{'adhesion', 'adhésions'}#
#adhésions#|#{'adhésion'}#
#adhésive#|#{'adhésives'}#
#adhésives#|#{'adhésive'}#
#adi#|#{'adis'}#
#adis#|#{'adi'}#
#adjoint#|#{'adjoints'}#
#adjoints#|#{'adjoint'}#
#adjonction#|#{'adjonctions'}#
#adjonctions#|#{'adjonction'}#
#adjuvant#|#{'adjuvants'}#
#adjuvants#|#{'adjuvant'}#
#admin#|#{'admins'}#
#administrateur#|#{'administratrice', 'administrateurs', 'administrer'}#
#administrateurs#|#{'administrateur'}#
#administration#|#{'administrer', 'administrations'}#
#administrations#|#{'administration'}#
#administratrice#|#{'administrer', 'administrateur'}#
#administre#|#{'administré'}#
#administrer#|#{'administratrice', 'administration', 'administré', 'administrateur'}#
