"conseil","",591,425,3.56578,7,"scinelo",7,IFV,None,0.312706,0.015819209039548022
"commercial","",587,389,3.65429,10,"cimerlao",8,IFV,None,0.31059,0.015536723163841809
"requérir","requerir",583,388,3.656864,8,"ireuq",5,IFV,None,0.308473,0.01694915254237288
"préparation","preparation",579,512,3.379545,11,"itprenao",8,IFV,None,0.306357,0.016666666666666666
"mesurer","",551,396,3.636455,7,"smeur",5,IFV,None,0.291542,0.01807909604519774
"chantier","",542,311,3.878077,8,"hcitnera",8,IFV,None,0.28678,0.02231638418079096
"mécanique","mecanique",542,451,3.506402,9,"cimenuaq",8,IFV,None,0.28678,0.02033898305084746
"système","systeme",541,461,3.484471,7,"sytme",5,IFV,None,0.28625,0.019491525423728815
"textile","",536,468,3.469401,7,"itxel",5,IFV,None,0.283605,0.022033898305084745
"utiliser","",534,476,3.452452,8,"sitruel",7,IFV,None,0.282547,0.018926553672316385
"réseau","reseau",520,312,3.874866,6,"sreua",5,IFV,None,0.275139,0.025423728813559324
"installer","",515,444,3.522045,9,"sitnerla",8,IFV,None,0.272493,0.020056497175141245
"intervention","",509,467,3.47154,12,"itvnero",7,IFV,None,0.269319,0.01864406779661017
"engin","",503,300,3.914087,5,"ineg",4,IFV,None,0.266144,0.02570621468926554
"secteur","",500,330,3.818777,7,"sctrue",6,IFV,None,0.264557,0.017231638418079096
"structurer","",498,394,3.641519,10,"sctrue",6,IFV,None,0.263499,0.01977401129943503
"montage","",497,423,3.570497,7,"tmnegao",7,IFV,None,0.262969,0.02090395480225989
"projet","",492,388,3.656864,6,"tprejo",6,IFV,None,0.260324,0.02175141242937853
"social","",490,273,4.008398,6,"siclao",6,IFV,None,0.259266,0.025988700564971753
"soin","",476,340,3.788924,4,"nios",4,IFV,None,0.251858,0.024293785310734464
"communication","",474,292,3.941116,13,"citnmuao",8,IFV,None,0.2508,0.026836158192090398
"surveillance","",473,437,3.537936,12,"sicvreulan",10,IFV,None,0.250271,0.024858757062146894
"outil","",472,445,3.519795,5,"itulo",5,IFV,None,0.249742,0.023728813559322035
"matériel","materiel",471,433,3.547132,8,"itmerla",7,IFV,None,0.249212,0.0211864406779661
"niveau","",465,395,3.638984,6,"ivneua",6,IFV,None,0.246038,0.020621468926553674
"régler","regler",462,402,3.621417,6,"relg",4,IFV,None,0.24445,0.0192090395480226
"fiscalité","fiscalite",461,404,3.616455,9,"sictelaf",8,IFV,None,0.243921,0.02768361581920904
"banque","",453,428,3.558746,6,"nueaqb",6,IFV,None,0.239688,0.02457627118644068
"relation","",451,431,3.551761,8,"itrenlao",8,IFV,None,0.23863,0.02288135593220339
"procéder","proceder",449,435,3.542523,8,"dcpreo",6,IFV,None,0.237572,0.023163841807909605
"entreprises","",445,370,3.704367,11,"sitpner",7,IFV,None,0.235455,0.022598870056497175
"risques","",434,273,4.008398,7,"sirueq",6,IFV,None,0.229635,0.027966101694915254
"coordonner","",431,414,3.592004,10,"dcnreo",6,IFV,None,0.228048,0.021468926553672316
"animation","",425,316,3.862127,9,"itnmao",6,IFV,None,0.224873,0.027401129943502824
"pratiquer","",425,377,3.685624,9,"itprueaq",8,IFV,None,0.224873,0.027118644067796613
"droit","",410,263,4.045715,5,"ditro",5,IFV,None,0.216936,0.029661016949152543
"expérience","experience",401,381,3.67507,10,"icpxern",7,IFV,None,0.212174,0.02344632768361582
"électronique","electronique",395,278,3.990248,12,"citrenluqo",10,IFV,None,0.209,0.028531073446327684
"conformité","conformite",391,349,3.762798,10,"citnrmeof",9,IFV,None,0.206883,0.02627118644067797
